分类: 卫视频道, 名称: 湖南卫视, 有效: 2, IPv4: 13, IPv6: 0, 最小延迟: 580 ms, 最高速率: 7.39 M/s, 平均速率: 4.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 北京卫视, 有效: 2, IPv4: 17, IPv6: 0, 最小延迟: 718 ms, 最高速率: 2.90 M/s, 平均速率: 2.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 湖北卫视, 有效: 1, IPv4: 17, IPv6: 0, 最小延迟: 759 ms, 最高速率: 5.18 M/s, 平均速率: 5.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 安徽卫视, 有效: 1, IPv4: 8, IPv6: 0, 最小延迟: 378 ms, 最高速率: 10.46 M/s, 平均速率: 10.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 黑龙江卫视, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 3001 ms, 最高速率: 0.02 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 重庆卫视, 有效: 2, IPv4: 17, IPv6: 0, 最小延迟: 1368 ms, 最高速率: 1.17 M/s, 平均速率: 1.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 甘肃卫视, 有效: 1, IPv4: 5, IPv6: 0, 最小延迟: 551 ms, 最高速率: 6.43 M/s, 平均速率: 6.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 广西卫视, 有效: 1, IPv4: 6, IPv6: 0, 最小延迟: 2150 ms, 最高速率: 1.34 M/s, 平均速率: 1.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 东方卫视, 有效: 3, IPv4: 17, IPv6: 0, 最小延迟: 727 ms, 最高速率: 1.55 M/s, 平均速率: 1.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 贵州卫视, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 3002 ms, 最高速率: 0.08 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
